,date,price,unit,commodity_category,lat,lon,price_flag,admin2_name,aggregated_commodity_name,currency_code
155,2021-01-03,85.38698167429523,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
156,2021-01-10,85.75312563119441,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
157,2021-01-17,85.08317081997154,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
158,2021-01-24,85.2786276588946,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
159,2021-01-31,84.40734984045312,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
160,2021-02-07,84.34689060388484,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
161,2021-02-14,83.83880508682128,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
162,2021-02-21,83.8223784872132,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
163,2021-02-28,83.8269606008334,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
164,2021-03-07,83.35790562173794,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
165,2021-03-14,83.89083477988088,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
166,2021-03-21,84.04893923152822,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
167,2021-03-28,83.85396304547736,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
168,2021-04-04,83.35014240756473,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
169,2021-04-11,83.31809944919354,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
170,2021-04-18,83.91621837753424,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
171,2021-04-25,83.81697178380813,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
172,2021-05-02,83.37033662586997,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
173,2021-05-09,83.14036693212546,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
174,2021-05-16,83.33235772727588,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
175,2021-05-23,83.58289294599051,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
176,2021-05-30,83.45771582889114,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
177,2021-06-06,83.40046758305922,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
178,2021-06-13,83.04493855897765,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
179,2021-06-20,83.03241955335645,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
180,2021-06-27,83.83709959271751,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
181,2021-07-04,83.61754781728102,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
182,2021-07-11,83.1620224719082,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
183,2021-07-18,83.46108021404388,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
184,2021-07-25,83.4220212792654,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
185,2021-08-01,83.91244851274863,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
186,2021-08-08,83.0028656285297,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
187,2021-08-15,83.14468080861067,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
188,2021-08-22,83.33464008933741,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
189,2021-08-29,83.15113190470528,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
190,2021-09-05,82.91198615887923,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
191,2021-09-12,83.16525092542228,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
192,2021-09-19,82.79032266334386,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
193,2021-09-26,82.31368556462456,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
194,2021-10-03,82.50830597893692,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
195,2021-10-10,82.14023051534636,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
196,2021-10-17,82.22644681055863,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
197,2021-10-24,81.03961110646237,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
198,2021-10-31,79.97404757197437,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
199,2021-11-07,79.6018189796824,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
200,2021-11-14,79.27007689628809,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
201,2021-11-21,79.07276708309836,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
202,2021-11-28,78.9154337567986,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
203,2021-12-05,78.42718576960729,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
204,2021-12-12,77.65286539509586,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
205,2021-12-19,77.69723581705735,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
206,2021-12-26,77.38647616569163,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
207,2022-01-02,76.9812253451961,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
208,2022-01-09,76.76785194495928,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
209,2022-01-16,75.96054999561018,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
210,2022-01-23,74.70798962909912,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
211,2022-01-30,73.54100355750872,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
212,2022-02-06,71.52571480829076,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
213,2022-02-13,70.32021888495166,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
214,2022-02-20,69.63046533280023,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
215,2022-02-27,68.6021849761957,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
216,2022-03-06,67.8155718713764,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
217,2022-03-13,66.6602270730914,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
